Conference,Year,"City, Country",Starting date,Ending date,Remark,Website,Description
SYNASC,2024,"Timişoara, Romania",16 September 2024,19 September 2024,,https://synasc.ro/2024/,Symbolic and Numeric Algorithms for Scientific Computing
SPLASH,2024,"Pasadena, California, USA",20 October 2024,25 October 2024,co-located withSAS,https://2024.splashcon.org/,"Systems, Programming, Languages, and Applications: Software for Humanity"
ALENEX,2025,"New Orleans, Lousiana, USA",12 January 2025,13 January 2025,"call posted in June 2024;
	      co-located withSODA",https://www.siam.org/conferences/cm/conference/alenex25,Algorithm Engineering and Experiments
SOSA,2025,"New Orleans, Lousiana, USA",13 January 2025,14 January 2025,"call posted in June 2024;
	      co-located withSODA",https://www.siam.org/conferences/cm/conference/sosa25,Symposium on Simplicity in Algorithms
SOFSEM,2025,"Bratislava, Slovakia",20 January 2025,23 January 2025,,https://www.sofsem.cz/,Current Trends in Theory and Practice of Computer Science
STACS,2025,"Jena, Germany",4 March 2025,7 March 2025,LIPIcsproceedings,https://stacs2025.de/,Symposium on Theoretical Aspects of Computer Science
ICALP,2025,"Aarhus, Denmark",7 July 2025,11 July 2025,,no-webpage-yet.html,"International Colloquium on Automata, Languages and Programming"
